[2026-02-10T10:55:34.556526400Z] [39e58850] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: f2ffe8e0-07d4-414c-a836-f298b593dfc9, Getting security summary for user: RDK006
[2026-02-10T10:56:19.404470Z] [357ef8ce] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: 59ea9bd3-70e6-4b21-b848-4f7b1753f58f, Getting security configuration
[2026-02-10T10:56:19.404470Z] [65ec3dd7] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-2: Request ID: f69f661c-d292-4981-9ccf-a55440cc7682, Getting security summary
[2026-02-10T10:56:19.405808600Z] [15bcb24a] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-6: Request ID: f996549a-2f75-43c3-95a2-aaea2f606569, Security alerts retrieved successfully
[2026-02-10T10:56:19.406611400Z] [2c2b1862] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-4: Request ID: 113dce09-3427-401d-b27c-9a9671750647, IP whitelist retrieved successfully
[2026-02-10T10:56:19.406611400Z] [fc37008a] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: 59ea9bd3-70e6-4b21-b848-4f7b1753f58f, Security configuration retrieved successfully
[2026-02-10T10:56:19.406611400Z] [c84a0c0c] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-2: Request ID: f69f661c-d292-4981-9ccf-a55440cc7682, Security summary retrieved successfully
[2026-02-10T10:57:13.162890800Z] [22362bd1] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: ac0a3b8e-6f81-4faf-8dd2-2bbb1b047548, Getting security summary for user: RDK006
[2026-02-10T10:57:13.162890800Z] [18734b23] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-3: Request ID: d9a11d9f-c82d-4b99-bfcf-f971f7c06903, Getting security alerts for user: RDK006
[2026-02-10T10:57:13.162890800Z] [5d48b962] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-2: Request ID: 1abc5e2f-7e99-4d59-9c59-d7cd25afc230, Getting security configuration for user: RDK006
[2026-02-10T10:57:13.162890800Z] [be8aa6fa] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-9: Request ID: afcfc21c-ab98-4c1f-8d37-351c55646923, Getting IP whitelist for user: RDK006
[2026-02-10T10:57:13.167006500Z] [23bab9d9] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-8: Request ID: ac0a3b8e-6f81-4faf-8dd2-2bbb1b047548, Getting security summary
[2026-02-10T10:57:13.167006500Z] [1064adf2] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-3: Request ID: d9a11d9f-c82d-4b99-bfcf-f971f7c06903, Getting security alerts
[2026-02-10T10:57:13.167006500Z] [cbe92196] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-2: Request ID: 1abc5e2f-7e99-4d59-9c59-d7cd25afc230, Getting security configuration
[2026-02-10T10:57:13.167006500Z] [696c4b3b] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-9: Request ID: afcfc21c-ab98-4c1f-8d37-351c55646923, Getting IP whitelist
[2026-02-10T10:57:13.172381900Z] [482c1838] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: ac0a3b8e-6f81-4faf-8dd2-2bbb1b047548, Security summary retrieved successfully
[2026-02-10T10:57:13.172381900Z] [21bf938d] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-3: Request ID: d9a11d9f-c82d-4b99-bfcf-f971f7c06903, Security alerts retrieved successfully
[2026-02-10T10:57:13.173941200Z] [6ab78c85] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-9: Request ID: afcfc21c-ab98-4c1f-8d37-351c55646923, IP whitelist retrieved successfully
[2026-02-10T10:57:13.173941200Z] [46677915] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-2: Request ID: 1abc5e2f-7e99-4d59-9c59-d7cd25afc230, Security configuration retrieved successfully
[2026-02-10T10:57:14.608469700Z] [f76b3835] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-7: Request ID: f22a102d-9a0d-4e7b-9e02-5bded50614a3, Getting security configuration for user: RDK006
[2026-02-10T10:57:14.608469700Z] [3eb954d4] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-1: Request ID: f4618447-c278-484f-8151-8ef605b418be, Getting security alerts for user: RDK006
[2026-02-10T10:57:14.608469700Z] [c65dd550] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-5: Request ID: f4216f2c-ca50-4bb4-ae9d-262946b4621f, Getting IP whitelist for user: RDK006
[2026-02-10T10:57:14.608469700Z] [8aea38a0] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-10: Request ID: 61396089-985c-4073-8906-f51df1114497, Getting security summary for user: RDK006
[2026-02-10T10:57:14.615145900Z] [e2f28fc7] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-7: Request ID: f22a102d-9a0d-4e7b-9e02-5bded50614a3, Getting security configuration
[2026-02-10T10:57:14.618257800Z] [7a249312] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-10: Request ID: 61396089-985c-4073-8906-f51df1114497, Getting security summary
[2026-02-10T10:57:14.618257800Z] [92599ace] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-5: Request ID: f4216f2c-ca50-4bb4-ae9d-262946b4621f, Getting IP whitelist
[2026-02-10T10:57:14.617190900Z] [c8045d31] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-1: Request ID: f4618447-c278-484f-8151-8ef605b418be, Getting security alerts
[2026-02-10T10:57:14.618257800Z] [8c661b9f] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-7: Request ID: f22a102d-9a0d-4e7b-9e02-5bded50614a3, Security configuration retrieved successfully
[2026-02-10T10:57:14.620269100Z] [71343665] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-10: Request ID: 61396089-985c-4073-8906-f51df1114497, Security summary retrieved successfully
[2026-02-10T10:57:14.622280900Z] [abf00ad1] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-5: Request ID: f4216f2c-ca50-4bb4-ae9d-262946b4621f, IP whitelist retrieved successfully
[2026-02-10T10:57:14.622280900Z] [51f99894] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-1: Request ID: f4618447-c278-484f-8151-8ef605b418be, Security alerts retrieved successfully
[2026-02-10T10:57:18.841263200Z] [127b0546] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 2098daca-788a-4a15-8458-b4bfcca60c41, Getting security configuration for user: RDK006
[2026-02-10T10:57:18.841263200Z] [2c27428b] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-2: Request ID: fa54de51-4c9f-43da-be62-1f64811ad267, Getting security alerts for user: RDK006
[2026-02-10T10:57:18.841263200Z] [b6aad453] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-9: Request ID: ad8314ed-28c1-47ad-ba73-8e4d3641ee67, Getting security summary for user: RDK006
[2026-02-10T10:57:18.841263200Z] [5e495605] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-7: Request ID: f7077b03-3ade-44c3-a45b-380c1d8ab34d, Getting IP whitelist for user: RDK006
[2026-02-10T10:57:18.842357800Z] [1150e945] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 2098daca-788a-4a15-8458-b4bfcca60c41, Getting security configuration
[2026-02-10T10:57:18.846774100Z] [20249b68] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-2: Request ID: fa54de51-4c9f-43da-be62-1f64811ad267, Getting security alerts
[2026-02-10T10:57:18.846774100Z] [f9e64c09] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-9: Request ID: ad8314ed-28c1-47ad-ba73-8e4d3641ee67, Getting security summary
[2026-02-10T10:57:18.848790200Z] [5f13bf30] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-7: Request ID: f7077b03-3ade-44c3-a45b-380c1d8ab34d, Getting IP whitelist
[2026-02-10T10:57:18.849681500Z] [a772173f] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 2098daca-788a-4a15-8458-b4bfcca60c41, Security configuration retrieved successfully
[2026-02-10T10:57:18.851692700Z] [fc7a4aa5] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-2: Request ID: fa54de51-4c9f-43da-be62-1f64811ad267, Security alerts retrieved successfully
[2026-02-10T10:57:18.853705500Z] [925bccca] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-9: Request ID: ad8314ed-28c1-47ad-ba73-8e4d3641ee67, Security summary retrieved successfully
[2026-02-10T10:57:18.855216700Z] [68f40174] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-7: Request ID: f7077b03-3ade-44c3-a45b-380c1d8ab34d, IP whitelist retrieved successfully
[2026-02-10T10:59:37.140271300Z] [92c4efa1] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 08c6b5da-f3e0-484d-9df8-3445a5be0412, Getting security configuration for user: RDK006
[2026-02-10T10:59:37.140271300Z] [32a20d28] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-6: Request ID: 6e78e3d4-3a94-41a0-9bf7-762e28505cdd, Getting security summary for user: RDK006
[2026-02-10T10:59:37.140271300Z] [c7e0b5d3] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-2: Request ID: ffe3d92b-ed1a-4ce6-a2c9-810efc414f06, Getting security alerts for user: RDK006
[2026-02-10T10:59:37.142025300Z] [4bf050d8] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 08c6b5da-f3e0-484d-9df8-3445a5be0412, Getting security configuration
[2026-02-10T10:59:37.142025300Z] [c062ba3b] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-10: Request ID: d331abb9-b96b-4302-a0a7-102e0236a76d, Getting IP whitelist for user: RDK006
[2026-02-10T10:59:37.144051400Z] [502fd76e] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-6: Request ID: 6e78e3d4-3a94-41a0-9bf7-762e28505cdd, Getting security summary
[2026-02-10T10:59:37.144051400Z] [37b758c6] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-3: Request ID: 08c6b5da-f3e0-484d-9df8-3445a5be0412, Security configuration retrieved successfully
[2026-02-10T10:59:37.144051400Z] [2f37e137] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-2: Request ID: ffe3d92b-ed1a-4ce6-a2c9-810efc414f06, Getting security alerts
[2026-02-10T10:59:37.144051400Z] [542542b7] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-10: Request ID: d331abb9-b96b-4302-a0a7-102e0236a76d, Getting IP whitelist
[2026-02-10T10:59:37.148893600Z] [b2b7c59b] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-6: Request ID: 6e78e3d4-3a94-41a0-9bf7-762e28505cdd, Security summary retrieved successfully
[2026-02-10T10:59:37.152890800Z] [ba2ed477] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-2: Request ID: ffe3d92b-ed1a-4ce6-a2c9-810efc414f06, Security alerts retrieved successfully
[2026-02-10T10:59:37.152890800Z] [2f0270e4] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-10: Request ID: d331abb9-b96b-4302-a0a7-102e0236a76d, IP whitelist retrieved successfully
[2026-02-10T10:59:45.147249900Z] [64c48180] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-8: Request ID: 60ffec57-0365-4e6c-9a52-4e1262dcdc28, Getting security alerts for user: RDK006
[2026-02-10T10:59:45.147249900Z] [6e4e3e6d] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-4: Request ID: 2db5f66e-ac97-4afb-b228-0d4b7fd7566a, Getting security summary for user: RDK006
[2026-02-10T10:59:45.149218300Z] [9861b88f] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: ab19526d-1a24-40bd-afa4-7550d2ffa6b7, Getting security configuration for user: RDK006
[2026-02-10T10:59:45.153158400Z] [51c4b8b2] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-4: Request ID: 2db5f66e-ac97-4afb-b228-0d4b7fd7566a, Getting security summary
[2026-02-10T10:59:45.151147400Z] [c88e4bf7] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-3: Request ID: eedb2a00-d154-44a5-9cd3-44883705dd8f, Getting IP whitelist for user: RDK006
[2026-02-10T10:59:45.151147400Z] [a69d70fe] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-8: Request ID: 60ffec57-0365-4e6c-9a52-4e1262dcdc28, Getting security alerts
[2026-02-10T10:59:45.156821100Z] [e8da22e4] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: ab19526d-1a24-40bd-afa4-7550d2ffa6b7, Getting security configuration
[2026-02-10T10:59:45.158593200Z] [ba52ec79] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-4: Request ID: 2db5f66e-ac97-4afb-b228-0d4b7fd7566a, Security summary retrieved successfully
[2026-02-10T10:59:45.159456100Z] [9c0c82fa] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-8: Request ID: 60ffec57-0365-4e6c-9a52-4e1262dcdc28, Security alerts retrieved successfully
[2026-02-10T10:59:45.159456100Z] [33eb8cf0] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-3: Request ID: eedb2a00-d154-44a5-9cd3-44883705dd8f, Getting IP whitelist
[2026-02-10T10:59:45.161476800Z] [4c71249e] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-5: Request ID: ab19526d-1a24-40bd-afa4-7550d2ffa6b7, Security configuration retrieved successfully
[2026-02-10T10:59:45.165612Z] [f59f8555] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-3: Request ID: eedb2a00-d154-44a5-9cd3-44883705dd8f, IP whitelist retrieved successfully
[2026-02-10T10:59:49.079909700Z] [c438e4e3] [INFO] [APISecurityController.getRateLimitRules] http-nio-4789-exec-2: Request ID: d0bf815b-5d62-4a2b-aa72-5ae093b2371e, Getting rate limit rules for user: RDK006
[2026-02-10T10:59:49.085318900Z] [e491246a] [INFO] [APISecurityService.getRateLimitRules] http-nio-4789-exec-2: Request ID: d0bf815b-5d62-4a2b-aa72-5ae093b2371e, Getting rate limit rules for API security
[2026-02-10T10:59:49.089535800Z] [89cd14c0] [INFO] [APISecurityController.getRateLimitRules] http-nio-4789-exec-2: Request ID: d0bf815b-5d62-4a2b-aa72-5ae093b2371e, Rate limit rules retrieved successfully
[2026-02-10T10:59:50.115884500Z] [eb62835a] [INFO] [APISecurityController.getLoadBalancers] http-nio-4789-exec-7: Request ID: 2be30eff-ed04-42c1-bea3-a78a40195f02, Getting load balancers for user: RDK006
[2026-02-10T10:59:50.118901600Z] [787dc0b6] [INFO] [APISecurityService.getLoadBalancers] http-nio-4789-exec-7: Request ID: 2be30eff-ed04-42c1-bea3-a78a40195f02, Getting load balancers
[2026-02-10T10:59:50.120914700Z] [26f93da4] [INFO] [APISecurityController.getLoadBalancers] http-nio-4789-exec-7: Request ID: 2be30eff-ed04-42c1-bea3-a78a40195f02, Load balancers retrieved successfully
[2026-02-10T10:59:50.834331300Z] [98c538a4] [INFO] [APISecurityController.getSecurityEvents] http-nio-4789-exec-1: Request ID: 39a3a6da-41c9-4270-aab9-a94645bb09cd, Getting security events for user: RDK006
[2026-02-10T10:59:50.838669400Z] [553f3b9d] [INFO] [APISecurityService.getSecurityEvents] http-nio-4789-exec-1: Request ID: 39a3a6da-41c9-4270-aab9-a94645bb09cd, Getting security events
[2026-02-10T10:59:50.842777500Z] [f9be0779] [INFO] [APISecurityController.getSecurityEvents] http-nio-4789-exec-1: Request ID: 39a3a6da-41c9-4270-aab9-a94645bb09cd, Security events retrieved successfully
[2026-02-10T10:59:51.841214800Z] [667e51bd] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-8: Request ID: 3b7e7d0b-b4bc-4a45-8537-235d61926b16, Getting IP whitelist for user: RDK006
[2026-02-10T10:59:51.843956Z] [f5020b0c] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-8: Request ID: 3b7e7d0b-b4bc-4a45-8537-235d61926b16, Getting IP whitelist
[2026-02-10T10:59:51.847654300Z] [3d5c87dd] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-8: Request ID: 3b7e7d0b-b4bc-4a45-8537-235d61926b16, IP whitelist retrieved successfully
[2026-02-10T11:12:19.199384Z] [b9a95499] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: 13e9257f-f0eb-46dc-bd53-632c262df82b, Getting security summary for user: RDK006
[2026-02-10T11:12:19.199384Z] [58eb0bce] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-9: Request ID: 68318489-9886-4497-8d9d-5eb32ca311a1, Getting security configuration for user: RDK006
[2026-02-10T11:12:19.199384Z] [1d172b47] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-1: Request ID: 43b3c437-5fd4-4f23-b4c1-974058953c70, Getting security alerts for user: RDK006
[2026-02-10T11:12:19.199384Z] [3c6148cb] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-5: Request ID: 02a77964-6b19-4f4a-aadd-c8eed05e84d6, Getting IP whitelist for user: RDK006
[2026-02-10T11:12:19.199384Z] [15398d48] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-8: Request ID: 13e9257f-f0eb-46dc-bd53-632c262df82b, Getting security summary
[2026-02-10T11:12:19.205723Z] [463355c6] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-1: Request ID: 43b3c437-5fd4-4f23-b4c1-974058953c70, Getting security alerts
[2026-02-10T11:12:19.205723Z] [fdf69249] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-9: Request ID: 68318489-9886-4497-8d9d-5eb32ca311a1, Getting security configuration
[2026-02-10T11:12:19.205723Z] [5683bea5] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-5: Request ID: 02a77964-6b19-4f4a-aadd-c8eed05e84d6, Getting IP whitelist
[2026-02-10T11:12:19.205723Z] [ce24df5e] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-8: Request ID: 13e9257f-f0eb-46dc-bd53-632c262df82b, Security summary retrieved successfully
[2026-02-10T11:12:19.209245200Z] [465bd0df] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-1: Request ID: 43b3c437-5fd4-4f23-b4c1-974058953c70, Security alerts retrieved successfully
[2026-02-10T11:12:19.211267300Z] [c45e62c9] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-9: Request ID: 68318489-9886-4497-8d9d-5eb32ca311a1, Security configuration retrieved successfully
[2026-02-10T11:12:19.211267300Z] [9854d123] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-5: Request ID: 02a77964-6b19-4f4a-aadd-c8eed05e84d6, IP whitelist retrieved successfully
[2026-02-10T11:12:23.164893600Z] [44272034] [INFO] [APISecurityController.runSecurityScan] http-nio-4789-exec-4: Request ID: e8ba64fc-edf4-440b-8706-ed4eb39114b5, Running security scan for user: RDK006
[2026-02-10T11:12:23.170284900Z] [8cb1dd92] [INFO] [APISecurityService.runSecurityScan] http-nio-4789-exec-4: Request ID: e8ba64fc-edf4-440b-8706-ed4eb39114b5, Running security scan
[2026-02-10T11:12:23.174060600Z] [c11f0c3b] [INFO] [APISecurityController.runSecurityScan] http-nio-4789-exec-4: Request ID: e8ba64fc-edf4-440b-8706-ed4eb39114b5, Security scan completed successfully
[2026-02-10T11:12:23.202203Z] [23e8ab5f] [INFO] [APISecurityController.getSecurityEvents] http-nio-4789-exec-3: Request ID: f6d232f5-82db-41dc-a44c-c8aef6a17074, Getting security events for user: RDK006
[2026-02-10T11:12:23.202203Z] [1cc2ffe5] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-10: Request ID: 4f72cd3f-5018-4eb3-90aa-31af1aa8bf10, Getting security summary for user: RDK006
[2026-02-10T11:12:23.202203Z] [ad9e9386] [INFO] [APISecurityService.getSecurityEvents] http-nio-4789-exec-3: Request ID: f6d232f5-82db-41dc-a44c-c8aef6a17074, Getting security events
[2026-02-10T11:12:23.207315400Z] [868edd24] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-10: Request ID: 4f72cd3f-5018-4eb3-90aa-31af1aa8bf10, Getting security summary
[2026-02-10T11:12:23.211391200Z] [955ee890] [INFO] [APISecurityController.getSecurityEvents] http-nio-4789-exec-3: Request ID: f6d232f5-82db-41dc-a44c-c8aef6a17074, Security events retrieved successfully
[2026-02-10T11:12:23.211391200Z] [b8569133] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-10: Request ID: 4f72cd3f-5018-4eb3-90aa-31af1aa8bf10, Security summary retrieved successfully
[2026-02-10T11:12:29.432037Z] [dee4ae98] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-7: Request ID: 39e42de9-dd62-4b76-a773-e2ebf1d2b2a1, Getting security alerts for user: RDK006
[2026-02-10T11:12:29.432037Z] [1d8ebe21] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-8: Request ID: 1efa8d5e-56b6-488a-bd19-5e68c421aa9f, Getting security configuration for user: RDK006
[2026-02-10T11:12:29.432037Z] [823d679b] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-9: Request ID: 72efa1eb-0dc7-4cee-9eeb-2324c8946486, Getting IP whitelist for user: RDK006
[2026-02-10T11:12:29.432037Z] [c630f0f0] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-2: Request ID: c99ab74b-88d0-4f6d-b819-433cce8bfce9, Getting security summary for user: RDK006
[2026-02-10T11:12:29.435395700Z] [89952a10] [INFO] [APISecurityService.getSecurityConfiguration] http-nio-4789-exec-8: Request ID: 1efa8d5e-56b6-488a-bd19-5e68c421aa9f, Getting security configuration
[2026-02-10T11:12:29.435395700Z] [08b3af96] [INFO] [APISecurityService.getSecurityAlerts] http-nio-4789-exec-7: Request ID: 39e42de9-dd62-4b76-a773-e2ebf1d2b2a1, Getting security alerts
[2026-02-10T11:12:29.435395700Z] [966aa835] [INFO] [APISecurityService.getIPWhitelist] http-nio-4789-exec-9: Request ID: 72efa1eb-0dc7-4cee-9eeb-2324c8946486, Getting IP whitelist
[2026-02-10T11:12:29.436830300Z] [1144348a] [INFO] [APISecurityService.getSecuritySummary] http-nio-4789-exec-2: Request ID: c99ab74b-88d0-4f6d-b819-433cce8bfce9, Getting security summary
[2026-02-10T11:12:29.439282700Z] [883134c8] [INFO] [APISecurityController.getSecurityAlerts] http-nio-4789-exec-7: Request ID: 39e42de9-dd62-4b76-a773-e2ebf1d2b2a1, Security alerts retrieved successfully
[2026-02-10T11:12:29.439282700Z] [b24c56e5] [INFO] [APISecurityController.getIPWhitelist] http-nio-4789-exec-9: Request ID: 72efa1eb-0dc7-4cee-9eeb-2324c8946486, IP whitelist retrieved successfully
[2026-02-10T11:12:29.439282700Z] [2d237d1c] [INFO] [APISecurityController.getSecurityConfiguration] http-nio-4789-exec-8: Request ID: 1efa8d5e-56b6-488a-bd19-5e68c421aa9f, Security configuration retrieved successfully
[2026-02-10T11:12:29.439282700Z] [d16b873b] [INFO] [APISecurityController.getSecuritySummary] http-nio-4789-exec-2: Request ID: c99ab74b-88d0-4f6d-b819-433cce8bfce9, Security summary retrieved successfully
